id,userID,gameSessionID,gameType,time
3792,1140348507,1,numberGame,2022-02-02 09:02:02+00:00
3791,1140348507,1,numberGame,2022-02-02 09:02:02+00:00
3790,1140348507,1,numberGame,2022-02-02 09:02:02+00:00
3789,1140348507,1,numberGame,2022-02-02 09:02:02+00:00
3788,863895500,8,numberGame,2022-04-07 11:13:26+00:00
3787,1140348507,1,numberGame,2022-02-02 09:02:02+00:00
3786,1140348507,1,numberGame,2022-02-02 09:02:02+00:00
3785,2056541335,1,numberGame,2022-04-05 19:50:53+00:00
3784,51258742,19,numberGame,2022-03-09 12:03:10+00:00
3783,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3782,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3781,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3780,649772868,28,numberGame,2022-03-08 16:14:37+00:00
3779,51258742,18,numberGame,2022-03-08 11:31:25+00:00
3778,3979696,26,numberGame,2022-03-08 10:49:34+00:00
3777,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3776,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3775,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3774,649772868,27,numberGame,2022-03-08 07:24:27+00:00
3773,51258742,17,numberGame,2022-03-07 21:20:35+00:00
3772,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3771,3979696,25,numberGame,2022-03-07 19:39:09+00:00
3770,649772868,26,numberGame,2022-03-07 16:01:19+00:00
3769,3979696,24,numberGame,2022-03-07 11:49:07+00:00
3768,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3767,51258742,16,numberGame,2022-03-07 08:04:11+00:00
3766,649772868,25,numberGame,2022-03-07 07:22:46+00:00
3765,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3764,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3763,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3762,3979696,23,numberGame,2022-03-06 19:07:31+00:00
3761,3979696,22,numberGame,2022-03-06 19:06:53+00:00
3760,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3759,649772868,24,numberGame,2022-03-06 16:11:27+00:00
3758,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3757,3979696,21,numberGame,2022-03-06 09:56:14+00:00
3756,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3755,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3754,649772868,23,numberGame,2022-03-06 07:47:08+00:00
3753,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3752,649772868,22,numberGame,2022-03-05 15:48:55+00:00
3751,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3750,3979696,20,numberGame,2022-03-05 11:51:22+00:00
3749,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3748,649772868,21,numberGame,2022-03-05 07:48:10+00:00
3747,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3746,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3745,649772868,20,numberGame,2022-03-04 18:19:42+00:00
3744,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3743,3979696,19,numberGame,2022-03-04 13:14:15+00:00
3742,51258742,15,numberGame,2022-03-04 12:38:16+00:00
3741,3979696,18,numberGame,2022-03-04 11:12:16+00:00
3740,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3739,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3738,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3737,649772868,19,numberGame,2022-03-04 06:56:48+00:00
3736,649772868,18,numberGame,2022-03-04 06:56:39+00:00
3735,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3734,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3733,3979696,17,numberGame,2022-03-03 14:19:30+00:00
3732,649772868,17,numberGame,2022-03-03 16:59:15+00:00
3731,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3730,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3729,39005574,14,numberGame,2022-02-28 08:57:23+00:00
3728,39005574,13,numberGame,2022-02-27 13:41:29+00:00
3727,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3726,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3725,3979696,16,numberGame,2022-03-02 20:35:03+00:00
3724,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3723,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3722,3979696,15,numberGame,2022-03-02 17:09:40+00:00
3721,3979696,14,numberGame,2022-03-02 17:06:33+00:00
3720,649772868,16,numberGame,2022-03-02 16:00:23+00:00
3719,39005574,13,numberGame,2022-02-27 13:41:29+00:00
3718,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3717,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3716,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3715,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3714,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3713,51258742,14,numberGame,2022-03-02 09:40:44+00:00
3712,649772868,15,numberGame,2022-03-02 07:24:19+00:00
3711,649772868,14,numberGame,2022-03-01 21:37:56+00:00
3710,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3709,51258742,13,numberGame,2022-03-01 10:14:26+00:00
3708,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3707,649772868,13,numberGame,2022-03-01 07:32:37+00:00
3706,3979696,13,numberGame,2022-03-01 06:36:09+00:00
3705,3979696,12,numberGame,2022-03-01 06:35:32+00:00
3704,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3703,51258742,12,numberGame,2022-02-28 20:52:40+00:00
3702,649772868,12,numberGame,2022-02-28 17:32:08+00:00
3701,3979696,11,numberGame,2022-02-28 16:38:17+00:00
3700,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3699,51258742,11,numberGame,2022-02-28 12:15:05+00:00
3698,3979696,10,numberGame,2022-02-28 10:23:53+00:00
3697,3979696,9,numberGame,2022-02-27 17:37:04+00:00
3696,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3695,649772868,11,numberGame,2022-02-28 07:18:41+00:00
3694,51258742,10,numberGame,2022-02-27 20:53:11+00:00
3693,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3692,3979696,9,numberGame,2022-02-27 17:37:04+00:00
3691,649772868,10,numberGame,2022-02-27 17:09:01+00:00
3690,39005574,12,numberGame,2022-02-27 08:46:54+00:00
3689,39005574,11,numberGame,2022-02-26 13:47:48+00:00
3688,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3687,39005574,11,numberGame,2022-02-26 13:47:48+00:00
3686,39005574,10,numberGame,2022-02-26 08:39:13+00:00
3685,51258742,9,numberGame,2022-02-27 08:17:31+00:00
3684,649772868,9,numberGame,2022-02-27 07:30:24+00:00
3683,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3682,51258742,8,numberGame,2022-02-26 21:58:01+00:00
3681,3979696,8,numberGame,2022-02-26 17:29:01+00:00
3680,649772868,8,numberGame,2022-02-26 16:30:33+00:00
3679,39005574,10,numberGame,2022-02-26 08:39:13+00:00
3678,39005574,9,numberGame,2022-02-25 13:40:45+00:00
3677,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3676,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3675,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3674,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3673,51258742,7,numberGame,2022-02-26 10:35:46+00:00
3672,51258742,6,numberGame,2022-02-26 10:25:05+00:00
